Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals1	StdVVals1	MaxVVals1	MinVVals1	AverageVVals2	StdVVals2	MaxVVals2	MinVVals2	TotalEnvInteracts	LossPi1	LossPi2	LossV1	LossV2	DeltaLossPi1	DeltaLossPi2	DeltaLossV1	DeltaLossV2	Entropy1	Entropy2	KL1	KL2	ClipFrac1	ClipFrac2	StopIter1	StopIter2	Time
0	0.0	0.0	0.0	0.0	0.0	14.2	0.3745592	0.64386314	3.4205725	0.0	0.3875299	0.64640653	3.2864788	0.0	4000	-6.7520887e-09	2.7590431e-08	0.5576191	0.56927234	0.006993639	0.0029127523	-0.5550433	-0.5677682	0.91893846	0.91893846	0.022903718	0.018659549	0.2705	0.25524998	1.0	1.0	4.204660892486572
1	0.00022500001068692654	0.00032258066	0.005378495	0.09	0.0	14.222222	3.9009592e-05	0.0015402999	0.07463441	0.0	0.00020186996	0.0061099892	0.34398407	0.0	8000	5.029142e-08	4.0978193e-08	4.570651e-05	9.6965305e-05	-0.023820052	0.0027712507	-1.106213e-06	-1.8336254e-05	0.9186385	0.9189384	0.013007546	0.015741447	0.11475	0.17675	79.0	1.0	8.090955018997192
2	0.0	0.0	0.0	0.0	0.0	14.095407	9.5007206e-05	0.0029770052	0.11140816	0.0	5.4712727e-05	0.0025218944	0.13781315	0.0	12000	3.7252903e-09	-6.3329935e-08	5.363325e-05	4.929635e-05	-0.021626053	-0.019881397	-6.470398e-06	-1.7856946e-06	0.9124078	0.91900545	0.007880667	0.012693239	0.110249996	0.102249995	79.0	79.0	12.227850914001465
3	0.00022500001068692654	0.00032374103	0.0053881253	0.09	0.0	14.287769	3.436178e-05	0.0012590978	0.05039177	0.0	4.3792978e-05	0.001958337	0.08922994	0.0	16000	1.8626451e-09	2.0489097e-08	4.1141448e-05	8.342968e-05	-0.025900343	-0.021939784	-8.890911e-07	-1.6947888e-06	0.90515137	0.92234004	0.012049815	0.0109731145	0.13025	0.13624999	79.0	79.0	16.218337059020996
4	0.00047500000800937414	0.00035842296	0.005976105	0.1	0.0	14.200717	4.3607934e-06	0.00027576633	0.017443173	0.0	2.2512879e-05	0.0010231661	0.05323752	0.0	20000	-2.4680048e-08	-1.4901161e-08	9.9210236e-05	4.136343e-05	-0.020876465	-0.023221448	-4.8916263e-08	-6.2978233e-07	0.90758234	0.9135708	0.0084753875	0.0058813537	0.117	0.12324999	79.0	79.0	20.05851697921753
5	0.000750000006519258	0.0007168459	0.008436276	0.1	0.0	14.215054	0.00011694501	0.0040308284	0.23233455	0.0	0.0	0.0	0.0	0.0	24000	1.1175871e-08	2.7939677e-08	0.00012363984	4.8660277e-05	-0.0139488075	-0.008081511	-8.770899e-06	0.0	0.89767134	0.9016577	0.016211007	0.015260845	0.14625001	0.132	14.0	7.0	23.867987871170044
6	0.0007250000489875674	0.00032028471	0.0053593875	0.09	0.0	14.135231	0.0	0.0	0.0	0.0	1.5650152e-05	0.000989679	0.062600605	0.0	28000	-3.7252903e-09	-2.2351742e-08	4.4481567e-05	6.752461e-05	-0.028223144	-0.02139008	0.0	-4.5155411e-07	0.89602053	0.90247935	0.012765445	0.012424419	0.14575	0.117249995	79.0	79.0	27.725675106048584
7	0.0004500000213738531	0.00064748205	0.007606191	0.09	0.0	14.244604	0.0	0.0	0.0	0.0	1.0121971e-05	0.00034165988	0.016204119	0.0	32000	2.6077032e-08	-5.029142e-08	4.553998e-05	9.343246e-05	-0.02339626	-0.020940045	0.0	-9.9921635e-08	0.89211416	0.88347584	0.014282536	0.0037905788	0.1195	0.13	79.0	79.0	31.60687494277954
8	0.001925000105984509	0.0024817518	0.015344274	0.1	0.0	14.478102	4.889397e-05	0.00309194	0.19557588	0.0	5.4349417e-05	0.0021024784	0.09997041	0.0	36000	1.6763806e-08	-3.3527613e-08	0.00019508156	9.962356e-05	-0.021686768	-0.020529047	-2.4277033e-06	-1.7061402e-06	0.9025925	0.8670016	0.006342707	0.010713228	0.13350001	0.122	79.0	79.0	35.93826699256897
9	0.0014500000979751348	0.0010469315	0.010017384	0.1	0.0	14.314079	1.6682847e-05	0.0010549843	0.066731386	0.0	1.5284128e-05	0.00096653233	0.061136514	0.0	40000	5.5879354e-09	-7.450581e-09	0.00011874715	7.949412e-05	-0.021542072	-0.021678785	-5.648144e-07	-6.6093344e-07	0.875187	0.84823805	0.006850295	0.005875435	0.14124998	0.14899999	79.0	79.0	40.38855600357056
10	0.0012250000145286322	0.0014440434	0.011929757	0.1	0.0	14.361011	7.397806e-05	0.004388602	0.27724114	0.0	2.382466e-05	0.0015066158	0.09529864	0.0	44000	-1.8626451e-09	2.3283064e-08	0.00018086702	5.0090453e-05	-0.021586211	-0.023076855	-7.977829e-06	-1.1232569e-06	0.85534185	0.82995796	0.0150756	0.011115815	0.14175001	0.11625	72.0	79.0	45.14709782600403
11	0.0010000000474974513	0.00071942445	0.008451325	0.1	0.0	14.248201	5.544562e-06	0.00035062517	0.022178248	0.0	0.0	0.0	0.0	0.0	48000	3.5390258e-08	1.8626451e-08	8.016223e-05	7.165002e-05	-0.022088643	-0.015446327	-7.999006e-08	0.0	0.8392839	0.8299265	0.013540203	0.015281368	0.1385	0.1155	79.0	22.0	50.13738012313843
12	0.0014250001404434443	0.002080292	0.013922916	0.1	0.0	14.474453	5.054083e-05	0.0031960837	0.20216332	0.0	0.0	0.0	0.0	0.0	52000	5.5879354e-09	2.2351742e-08	0.00015536873	0.00015773223	-0.021352388	-0.023166448	-5.141803e-06	0.0	0.8256678	0.83113617	0.011288305	0.011713005	0.1215	0.12799999	79.0	79.0	55.39860415458679
13	0.0007250000489875674	0.00035714285	0.0059654624	0.1	0.0	14.196428	7.5917065e-05	0.0048008175	0.30366826	0.0	2.4310126e-05	0.0010922741	0.05345532	0.0	56000	2.9802322e-08	2.9802322e-08	7.307962e-05	4.6866367e-05	-0.020413361	-0.025293164	-6.2184045e-06	-8.512825e-07	0.8122465	0.8205691	0.013098789	0.011555809	0.13425	0.13225001	79.0	79.0	60.500548124313354
14	0.0002500000118743628	0.00035714285	0.0059654624	0.1	0.0	14.182143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60000	-8.381903e-09	-3.7252903e-09	7.495738e-05	4.110945e-05	-0.013777949	-0.023718197	0.0	0.0	0.80866915	0.80370253	0.015463357	0.012083358	0.12125	0.12025	18.0	79.0	65.6931369304657
15	0.00047500000800937414	0.0006859206	0.008054344	0.1	0.0	14.371841	5.327107e-05	0.0025942172	0.15252441	0.0	2.9063214e-05	0.0016377649	0.10270844	0.0	64000	-1.8626451e-08	2.6077032e-08	8.398516e-05	6.0541694e-05	-0.019874118	-0.021785267	-1.1578513e-06	-1.7960137e-06	0.8122032	0.7957901	0.015015027	0.013646209	0.14775	0.12674999	72.0	79.0	71.32447600364685
16	0.0021750000305473804	0.0028413283	0.016312465	0.1	0.0	14.623616	0.0	0.0	0.0	0.0	9.319e-06	0.00042696117	0.022808194	0.0	68000	-3.7252903e-09	-3.8184226e-08	0.00020643797	0.0001407459	-0.024812493	-0.024440706	0.0	-2.7989154e-07	0.795553	0.79392797	0.015171968	0.011031538	0.16800001	0.14375	73.0	79.0	76.77246904373169
