Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals1	StdVVals1	MaxVVals1	MinVVals1	AverageVVals2	StdVVals2	MaxVVals2	MinVVals2	TotalEnvInteracts	LossPi1	LossPi2	LossV1	LossV2	DeltaLossPi1	DeltaLossPi2	DeltaLossV1	DeltaLossV2	Entropy1	Entropy2	KL1	KL2	ClipFrac1	ClipFrac2	StopIter1	StopIter2	Time
0	0.00036231885314919055	0.00035842296	0.005976105	0.1	0.0	14.261649	0.4079059	0.6831397	1.9146907	-2.1312647	0.42344916	0.6786555	1.8899207	-2.2199886	4000	6.519258e-09	-2.7939677e-09	0.63987315	0.64728343	-0.027016822	-0.026817488	-0.6318345	-0.63859886	0.91893846	0.91893846	0.00080043334	0.0032025778	0.10975	0.103	79.0	79.0	5.525309085845947
1	0.0	0.0	0.0	0.0	0.0	14.142858	-0.007836114	0.07817951	0.36609975	-0.4655156	-0.00043074292	0.0780901	0.47632256	-0.34361792	8000	-5.5879354e-09	6.519258e-09	0.0062941457	0.0061305407	-0.029733622	-0.031989064	-0.003109252	-0.002915194	0.9005947	0.8964639	0.0024069818	0.005483818	0.104499996	0.116	79.0	79.0	9.87546706199646
2	0.00047500000800937414	0.00068100356	0.008025633	0.1	0.0	14.204301	-0.0056137457	0.056734975	0.3104958	-0.2654552	-0.006006868	0.058842316	0.42920935	-0.30534303	12000	-2.3283064e-09	-1.44355e-08	0.0032584814	0.0035088612	-0.034382727	-0.03632377	-0.0011307253	-0.0012936464	0.88144994	0.8907846	0.011454661	0.012316915	0.124000005	0.14125	79.0	79.0	14.036537885665894
3	0.00022500001068692654	0.00031914894	0.00534991	0.09	0.0	14.131206	-0.0030586529	0.048740048	0.45335525	-0.25430852	-0.004295539	0.04962561	0.36019936	-0.26419002	16000	4.656613e-09	-1.071021e-08	0.0023756318	0.0025213559	-0.03580992	-0.035169125	-0.0007192748	-0.000804493	0.87454295	0.87482655	0.013819378	0.010075178	0.13125	0.13675	79.0	79.0	18.595748901367188
4	0.0007000000332482159	0.0010108303	0.009672801	0.1	0.0	14.3213	-0.0065862886	0.042219814	0.3597914	-0.26190042	-0.006253141	0.04599163	0.32847488	-0.28489536	20000	-4.1909516e-09	-1.4901161e-08	0.0018600096	0.0022261632	-0.036949083	-0.038562775	-0.00049558067	-0.0006646903	0.85868484	0.8672997	0.009591118	0.010058188	0.14500001	0.15175	79.0	79.0	23.480649948120117
5	0.00047500000800937414	0.0	0.0	0.0	0.0	14.109929	-0.0029565874	0.03785391	0.16177641	-0.2167602	-0.0037250943	0.037749615	0.1940192	-0.1945717	24000	-3.0267984e-09	-1.0244548e-08	0.0014292297	0.0014255189	-0.03928972	-0.0416394	-0.0003632852	-0.0003987106	0.8494951	0.8534522	0.01274105	0.009482552	0.16925001	0.14925	79.0	79.0	28.915133953094482
6	0.0	0.0	0.0	0.0	0.0	14.128114	-0.0066541866	0.03512426	0.16061196	-0.26551288	-0.0063619926	0.036107548	0.18149628	-0.19826995	28000	-1.8626451e-09	-9.313226e-10	0.0012120717	0.0012836554	-0.030377079	-0.041651927	-0.00033638687	-0.00032138827	0.8350571	0.8372102	0.015124878	0.015092829	0.127	0.153	43.0	63.0	33.86009979248047
7	0.0002500000118743628	0.00035714285	0.0059654624	0.1	0.0	14.189285	-0.0023219713	0.033509873	0.26289344	-0.16801712	-0.0037683805	0.034959838	0.3777628	-0.18761131	32000	4.947651e-09	0.0	0.0011143368	0.0012524606	-0.037633315	-0.043627713	-0.00031741604	-0.0003433803	0.8312183	0.83111054	0.012076065	0.012982734	0.15	0.17375	79.0	79.0	37.90267610549927
8	0.000750000006519258	0.00071942445	0.008451325	0.1	0.0	14.251799	-0.0061203614	0.032021627	0.21686706	-0.18951362	-0.005486097	0.03231757	0.1489132	-0.2371361	36000	5.9371814e-09	-5.122274e-09	0.0011089834	0.0010530372	-0.03690657	-0.044321727	-0.00026977863	-0.00028322887	0.82858986	0.8159058	0.014424572	0.013984832	0.156	0.181	79.0	79.0	42.35961604118347
9	0.0005000000237487257	0.0007168459	0.008436276	0.1	0.0	14.193548	-0.004355579	0.028943107	0.15161699	-0.17519271	-0.0057334327	0.030135129	0.1676054	-0.19121084	40000	-2.3283064e-09	1.9557774e-08	0.00087033364	0.0009360775	-0.027760632	-0.040720023	-0.00022034928	-0.00022493972	0.81749314	0.80045366	0.015139789	0.0146229295	0.11175	0.158	33.0	79.0	46.844178915023804
10	0.000750000006519258	0.0010791367	0.010331946	0.1	0.0	14.241007	-0.005157871	0.028237324	0.16504914	-0.18648359	-0.0054524364	0.028545374	0.19016425	-0.14506988	44000	-3.7252903e-09	-7.450581e-09	0.0008813707	0.0008444693	-0.042341232	-0.043388456	-0.0002019594	-0.00019661555	0.81464064	0.7959341	0.011782946	0.013712301	0.1515	0.169	79.0	79.0	51.29822111129761
11	0.0012000000569969416	0.0013768115	0.011369423	0.1	0.0	14.394928	-0.0038405394	0.027502079	0.18978369	-0.15372336	-0.0038659445	0.028823087	0.15617114	-0.21946388	48000	0.0	8.381903e-09	0.00079012476	0.0008451447	-0.035670824	-0.045188304	-0.00018826617	-0.00019791994	0.80016994	0.79224074	0.015098138	0.011651674	0.1515	0.15975001	50.0	79.0	55.44955492019653
12	0.0012000000569969416	0.00068100356	0.008025633	0.1	0.0	14.268817	-0.0028977531	0.026962833	0.4945951	-0.14655885	-0.0036953671	0.028881261	0.22729427	-0.15609232	52000	3.7252903e-09	5.122274e-09	0.00074656995	0.0008827476	-0.011083677	-0.023044113	-0.0002409229	-0.00024211983	0.79631764	0.7822495	0.01571116	0.016081687	0.111499995	0.13925	6.0	14.0	59.576290130615234
13	0.0016250000335276127	0.0020588236	0.013726191	0.1	0.0	14.6029415	-0.0046707406	0.024568267	0.16255218	-0.17289683	-0.0057354383	0.026856914	0.15894729	-0.16651654	56000	1.1175871e-08	7.450581e-09	0.00063025614	0.00097565155	-0.0397361	-0.043238442	-0.00016342504	-0.0002463923	0.79682493	0.78036106	0.010558471	0.015104426	0.15875	0.16825	79.0	62.0	64.18098497390747
14	0.0012000000569969416	0.0017454545	0.012843418	0.1	0.0	14.407272	-0.0040222798	0.024013594	0.15993972	-0.21046628	-0.0037199936	0.025744192	0.12333721	-0.1587857	60000	-8.381903e-09	2.561137e-09	0.00064142444	0.00077529787	-0.04053898	-0.044172447	-0.00015810593	-0.00018043959	0.78821164	0.7826634	0.0152323255	0.015071571	0.16049999	0.16875	61.0	60.0	68.9746150970459
15	0.0030499999411404133	0.003494424	0.017808903	0.1	0.0	14.739777	-0.0035738808	0.024045628	0.17101304	-0.15148295	-0.003261963	0.026900902	0.13634315	-0.16223864	64000	5.820766e-10	3.259629e-09	0.00068436086	0.0009274336	-0.0415696	-0.044585325	-0.00018421415	-0.00022745765	0.7935127	0.77520454	0.015029548	0.015189565	0.15125	0.17625	72.0	79.0	73.82408714294434
16	0.003599999938160181	0.0040225564	0.019388769	0.1	0.0	14.966166	-0.0024517162	0.024605518	0.170138	-0.17511472	-0.001949028	0.027316889	0.2543221	-0.18224092	68000	4.656613e-09	1.21071935e-08	0.00081353216	0.0008332147	-0.025559496	-0.011600193	-0.0002058103	-0.00022334741	0.79351723	0.7609792	0.015015687	0.015152926	0.134	0.13675	21.0	5.0	78.56030011177063
17	0.0066999997943639755	0.0070980396	0.025053084	0.1	0.0	15.54902	-0.002167593	0.026385434	0.1826295	-0.15986921	-0.0025907476	0.026562808	0.18094893	-0.16740046	72000	5.5879354e-09	0.0	0.0009445372	0.0010588857	-0.04447432	-0.025492918	-0.0002313418	-0.00025219226	0.79206127	0.7599844	0.0150275305	0.015916428	0.19874999	0.17	79.0	18.0	83.54742193222046
18	0.005374999716877937	0.0041984734	0.019179912	0.1	0.0	15.103053	-0.0013790166	0.023080757	0.15230933	-0.108576335	-0.0004495594	0.024943205	0.19792372	-0.11221372	76000	5.5879354e-09	-5.5879354e-09	0.00059453107	0.0007747441	-0.037090614	-0.031572998	-0.00018947765	-0.00017869768	0.7565061	0.7573127	0.015192323	0.015092196	0.15924999	0.171	38.0	29.0	88.51505208015442
